ds,category,sub_category,y
2014-06-30,Office Supplies,Art,44
2014-06-30,Office Supplies,Binders,338
2014-06-30,Office Supplies,Fasteners,21
2014-06-30,Office Supplies,Paper,337
2014-07-01,Office Supplies,Binders,25
2014-07-01,Technology,Phones,576
2014-07-02,Office Supplies,Art,6
2014-07-02,Technology,Phones,74
2014-07-04,Office Supplies,Appliances,32
2014-07-04,Office Supplies,Binders,16
2014-07-04,Office Supplies,Paper,200
2014-07-05,Furniture,Furnishings,233
2014-07-05,Office Supplies,Art,4
2014-07-05,Office Supplies,Binders,191
2014-07-05,Office Supplies,Labels,15
2014-07-05,Office Supplies,Paper,19
2014-07-05,Office Supplies,Storage,502
2014-07-05,Technology,Accessories,480
2014-07-06,Furniture,Chairs,478
2014-07-06,Technology,Copiers,560
2014-07-07,Furniture,Chairs,172
2014-07-07,Furniture,Furnishings,69
2014-07-08,Furniture,Chairs,64
2014-07-08,Furniture,Tables,502
2014-07-08,Office Supplies,Binders,197
2014-07-09,Furniture,Bookcases,120
2014-07-09,Office Supplies,Art,6
2014-07-09,Office Supplies,Binders,56
2014-07-09,Office Supplies,Labels,3
2014-07-09,Office Supplies,Paper,56
2014-07-09,Office Supplies,Storage,24
2014-07-11,Furniture,Chairs,855
2014-07-11,Furniture,Furnishings,124
2014-07-11,Office Supplies,Binders,18
2014-07-11,Office Supplies,Labels,14
2014-07-11,Office Supplies,Paper,236
2014-07-11,Technology,Phones,939
2014-07-12,Furniture,Chairs,635
2014-07-12,Furniture,Tables,698
2014-07-12,Office Supplies,Art,22
2014-07-12,Office Supplies,Binders,19
2014-07-12,Office Supplies,Fasteners,3
2014-07-12,Office Supplies,Paper,52
2014-07-12,Office Supplies,Storage,250
2014-07-12,Technology,Accessories,24
2014-07-12,Technology,Phones,256
2014-07-13,Furniture,Tables,351
2014-07-14,Furniture,Furnishings,32
2014-07-14,Office Supplies,Appliances,39
2014-07-14,Office Supplies,Art,60
2014-07-14,Office Supplies,Binders,30
2014-07-14,Office Supplies,Storage,56
2014-07-14,Technology,Phones,75
2014-07-15,Office Supplies,Fasteners,7
2014-07-15,Technology,Accessories,3
2014-07-18,Furniture,Chairs,259
2014-07-18,Office Supplies,Binders,14
2014-07-19,Furniture,Tables,71
2014-07-19,Office Supplies,Binders,31
2014-07-19,Technology,Phones,360
2014-07-20,Furniture,Chairs,981
2014-07-20,Furniture,Furnishings,60
2014-07-20,Office Supplies,Art,13
2014-07-20,Office Supplies,Binders,126
2014-07-20,Office Supplies,Paper,160
2014-07-20,Office Supplies,Storage,904
2014-07-20,Technology,Accessories,42
2014-07-21,Furniture,Chairs,1460
2014-07-21,Furniture,Tables,273
2014-07-21,Office Supplies,Appliances,5
2014-07-21,Office Supplies,Art,99
2014-07-21,Office Supplies,Binders,1
2014-07-21,Office Supplies,Envelopes,88
2014-07-21,Technology,Phones,36
2014-07-22,Furniture,Chairs,718
2014-07-22,Furniture,Tables,170
2014-07-22,Office Supplies,Art,38
2014-07-22,Office Supplies,Storage,263
2014-07-22,Technology,Accessories,160
2014-07-23,Office Supplies,Art,9
2014-07-23,Office Supplies,Binders,8
2014-07-23,Office Supplies,Supplies,41
2014-07-23,Technology,Accessories,1648
2014-07-23,Technology,Phones,907
2014-07-25,Furniture,Furnishings,78
2014-07-25,Office Supplies,Paper,6
2014-07-25,Office Supplies,Storage,54
2014-07-25,Office Supplies,Supplies,8204
2014-07-26,Furniture,Chairs,742
2014-07-26,Furniture,Furnishings,177
2014-07-26,Office Supplies,Appliances,5
2014-07-26,Office Supplies,Binders,2204
2014-07-26,Office Supplies,Labels,163
2014-07-26,Office Supplies,Storage,124
2014-07-26,Technology,Accessories,714
2014-07-26,Technology,Phones,912
2014-07-27,Office Supplies,Paper,66
2014-07-27,Office Supplies,Storage,276
2014-07-27,Technology,Accessories,238
2014-07-28,Furniture,Furnishings,130
2014-07-28,Office Supplies,Envelopes,49
2014-07-28,Office Supplies,Fasteners,14
2014-07-30,Furniture,Bookcases,1368
2014-08-01,Furniture,Furnishings,44
2014-08-01,Office Supplies,Appliances,63
2014-08-01,Office Supplies,Binders,20
2014-08-01,Office Supplies,Fasteners,6
2014-08-01,Office Supplies,Labels,18
2014-08-01,Office Supplies,Paper,78
2014-08-02,Office Supplies,Binders,27
2014-08-02,Office Supplies,Storage,838
2014-08-02,Technology,Accessories,21
2014-08-03,Furniture,Tables,219
2014-08-03,Office Supplies,Appliances,3
2014-08-03,Office Supplies,Paper,133
2014-08-03,Office Supplies,Storage,21
2014-08-03,Office Supplies,Supplies,102
2014-08-04,Office Supplies,Appliances,1192
2014-08-04,Office Supplies,Art,16
2014-08-04,Office Supplies,Binders,13
2014-08-04,Office Supplies,Paper,708
2014-08-04,Office Supplies,Storage,159
2014-08-04,Technology,Accessories,255
2014-08-04,Technology,Phones,400
2014-08-05,Furniture,Chairs,1473
2014-08-05,Furniture,Tables,489
2014-08-05,Office Supplies,Appliances,79
2014-08-05,Office Supplies,Art,67
2014-08-05,Office Supplies,Paper,132
2014-08-05,Office Supplies,Storage,16
2014-08-05,Technology,Accessories,16
2014-08-05,Technology,Phones,136
2014-08-06,Technology,Accessories,263
2014-08-08,Furniture,Bookcases,155
2014-08-08,Furniture,Furnishings,503
2014-08-08,Office Supplies,Appliances,244
2014-08-08,Office Supplies,Envelopes,38
2014-08-08,Office Supplies,Storage,423
2014-08-08,Technology,Accessories,96
2014-08-08,Technology,Copiers,1750
2014-08-08,Technology,Phones,746
2014-08-09,Office Supplies,Binders,2070
2014-08-09,Office Supplies,Fasteners,4
2014-08-09,Office Supplies,Labels,21
2014-08-09,Office Supplies,Paper,22
2014-08-09,Technology,Phones,1488
2014-08-11,Furniture,Furnishings,12
2014-08-11,Office Supplies,Art,41
2014-08-11,Office Supplies,Fasteners,23
2014-08-11,Office Supplies,Storage,375
2014-08-12,Furniture,Furnishings,85
2014-08-12,Office Supplies,Appliances,211
2014-08-12,Office Supplies,Art,48
2014-08-12,Office Supplies,Binders,210
2014-08-12,Office Supplies,Labels,3
2014-08-12,Office Supplies,Paper,31
2014-08-12,Office Supplies,Supplies,6
2014-08-12,Technology,Accessories,432
2014-08-12,Technology,Phones,806
2014-08-15,Furniture,Chairs,195
2014-08-15,Office Supplies,Appliances,305
2014-08-15,Office Supplies,Binders,158
2014-08-15,Office Supplies,Paper,184
2014-08-16,Furniture,Tables,853
2014-08-17,Office Supplies,Binders,18
2014-08-17,Office Supplies,Fasteners,13
2014-08-17,Office Supplies,Paper,130
2014-08-17,Technology,Accessories,340
2014-08-19,Furniture,Bookcases,639
2014-08-19,Furniture,Furnishings,289
2014-08-19,Office Supplies,Art,11
2014-08-19,Office Supplies,Binders,146
2014-08-19,Office Supplies,Storage,345
2014-08-19,Office Supplies,Supplies,9
2014-08-20,Furniture,Chairs,921
2014-08-20,Office Supplies,Binders,897
2014-08-20,Office Supplies,Paper,20
2014-08-22,Office Supplies,Art,4
2014-08-22,Office Supplies,Paper,12
2014-08-22,Office Supplies,Supplies,8
2014-08-23,Furniture,Furnishings,4
2014-08-23,Office Supplies,Binders,50
2014-08-23,Office Supplies,Paper,361
2014-08-23,Office Supplies,Supplies,7
2014-08-23,Technology,Phones,144
2014-08-24,Furniture,Furnishings,13
2014-08-24,Office Supplies,Binders,21
2014-08-24,Office Supplies,Supplies,26
2014-08-25,Furniture,Furnishings,6
2014-08-25,Office Supplies,Binders,69
2014-08-25,Office Supplies,Envelopes,135
2014-08-25,Office Supplies,Fasteners,40
2014-08-25,Office Supplies,Paper,50
2014-08-25,Office Supplies,Storage,49
2014-08-25,Technology,Accessories,95
2014-08-25,Technology,Phones,1008
2014-08-26,Furniture,Furnishings,11
2014-08-26,Office Supplies,Art,9
2014-08-26,Office Supplies,Paper,20
2014-08-26,Technology,Accessories,327
2014-08-27,Furniture,Furnishings,29
2014-08-27,Furniture,Tables,1203
